의도 id (그대로 두세요),의도,뜻 (참고),구분,예시 문장 — 어색하면 자유롭게 고쳐 쓰세요,빼려면 X
play_expand,놀이 더 키우기,"진행 중인 놀이의 장면이나 관찰 내용을 입력으로 받아, 그 놀이의 주제와 내용을 더 넓고 깊게 발전시킬 확장 아이디어를 제안한다.",기존1 (참고용),이 블록놀이 좀 더 키워볼 만한 거 없을까?,
play_expand,놀이 더 키우기,,기존2 (참고용),얘들이 요즘 공룡에 푹 빠졌는데 여기서 뭘 더 해볼 수 있을까?,
play_expand,놀이 더 키우기,,추가 초안1,요즘 애들 세차장놀이에 푹 빠졌는데 이걸 더 크게 벌여볼 방법 없을까?,
play_expand,놀이 더 키우기,,추가 초안2,지금 하는 시장놀이 더 풍성하게 만들어줘,
play_expand,놀이 더 키우기,,추가 초안3,이 놀이에서 뻗어나갈 가지 좀 뽑아줘,
play_expand,놀이 더 키우기,,추가 초안4,블록으로 다리를 만들었는데 여기서 놀이를 어떻게 더 키우지?,
play_transition_next_step,다음 활동 제안,"현재 진행 중인 놀이의 흐름과 도달 지점을 입력으로 받아, 그 놀이에서 이어서 전개할 다음 단계 활동을 제안한다.",기존1 (참고용),다음엔 뭘 해주면 좋을까?,
play_transition_next_step,다음 활동 제안,,기존2 (참고용),병원놀이 오늘 여기까지 했는데 내일은 뭘로 이어가지?,
play_transition_next_step,다음 활동 제안,,추가 초안1,가게놀이 마무리하고 이어서 뭘 하면 좋을까?,
play_transition_next_step,다음 활동 제안,,추가 초안2,오늘 색깔 탐색 끝났는데 내일은 뭘로 이어가지?,
play_transition_next_step,다음 활동 제안,,추가 초안3,이 활동 다음 단계 활동 추천해줘,
play_transition_next_step,다음 활동 제안,,추가 초안4,물감놀이 다음으로 넘어갈 활동 하나만 짜줘,
play_flow_naturalize,놀이 흐름 다듬기,"계획된 놀이 활동들의 순서와 연결 상태를 입력으로 받아, 단계 사이의 전환이 매끄러워지도록 흐름을 다듬은 전개안을 제안한다.",기존1 (참고용),이 순서가 좀 뚝뚝 끊기는데 흐름 좀 매끄럽게 해줘,
play_flow_naturalize,놀이 흐름 다듬기,,기존2 (참고용),"도입에서 바로 만들기로 넘어가니까 어색해, 연결 좀 자연스럽게",
play_flow_naturalize,놀이 흐름 다듬기,,추가 초안1,"도입에서 전개로 넘어가는 게 뚝뚝 끊겨, 흐름 좀 매끄럽게 이어줘",
play_flow_naturalize,놀이 흐름 다듬기,,추가 초안2,이 활동 순서 자연스럽게 다시 배열해줘,
play_flow_naturalize,놀이 흐름 다듬기,,추가 초안3,노래 부르다 갑자기 만들기로 넘어가니 어색한데 중간을 이어줄 것 없을까?,
play_flow_naturalize,놀이 흐름 다듬기,,추가 초안4,"전이가 너무 급해, 활동 연결 좀 부드럽게 해줘",
play_material_suggest,놀잇감 추천,"진행 중인 놀이의 주제와 상황을 입력으로 받아, 그 놀이에 새로 투입하면 좋을 놀잇감·재료 목록을 추천한다.",기존1 (참고용),가게놀이 하는데 뭐 더 넣어주면 좋을까?,
play_material_suggest,놀잇감 추천,,기존2 (참고용),요즘 애들이 병원놀이에 푹 빠졌는데 새로 넣어줄 만한 재료 뭐 있을까?,
