의도 id,의도(한글),구분,출처,공부 발화
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 811639)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 326470)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 109276)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 132221)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 315951)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 264796)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 598578)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 248522)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 746622)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 610993)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 493975)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 230180)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 828381)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 36600)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 57595)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 24079)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 668290)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 651457)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 281780)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 829238)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 581810)
comm_collect_parent_responses,학부모 회신 모으기,TRAIN,FOUNDRY_SYNTHETIC,이거 좀 해줄 수 있어? (변형 564216)
